instance,result,elapsedTime,totalSolveTime,totalTime,nvars,snvars,ncons,sncons
metroplex44nDr1nDe1,3.233083,1.663284,0.309195,1.972479,208664,5612,17874,17874
airport43nDr0nDe1,0.874687,0.174028,0.114961,0.288989,23196,3186,11482,11482
metroplex41nDr0nDe2,5.987469,4.116794,1.701632,5.818426,492272,12009,43686,43686
grid42nDr1nDe1,4.962406,1.581472,0.228548,1.810020,201936,7799,15282,15282
metroplex44nDr0nDe2,12.270677,2.007250,0.721006,2.728256,231471,6019,19274,19274
grid43nDr0nDe3,12.609023,1.390955,0.278988,1.669943,175332,7407,14578,14578
grid35nDr0nDe3,5.338346,3.320007,2.160597,5.480604,402450,13668,28018,28018
airport44nDr1nDe1,1.175439,0.116532,0.044228,0.160760,15656,1836,5131,5131
metroplex46nDr0nDe2,12.964912,0.949878,0.272737,1.222615,117319,3711,10616,10616
grid42nDr0nDe2,9.491228,1.596508,0.353158,1.949666,201942,7803,15290,15290
grid42nDr0nDe3,5.741855,2.620896,0.390588,3.011484,308076,11426,23236,23236
grid43nDr0nDe2,11.892231,1.753216,0.279068,2.032284,222158,9012,18053,18053
grid37nDr0nDe2,1.571429,3.329975,1.103077,4.433052,421492,14219,29272,29272
airport44nDr0nDe2,1.393484,0.213312,0.084006,0.297318,28802,2898,8821,8821
metroplex46nDr1nDe1,4.085213,0.896282,0.094907,0.991189,111722,3572,10201,10201
metroplex46nDr1nDe0,3.210526,1.666174,0.280424,1.946598,214378,5711,17748,17748
grid41nDr1nDe1,4.944862,2.508081,0.502642,3.010723,316820,11818,24270,24270
grid38nDr0nDe2,3.380952,2.687159,0.518287,3.205446,335774,11600,23561,23561
metroplex47nDr0nDe2,13.606516,0.831810,0.160922,0.992732,106080,4068,12759,12759
airport37nDr0nDe3,1.699248,0.441049,0.190729,0.631778,59154,5384,18868,18868
metroplex47nDr0nDe3,11.027569,0.452572,0.038713,0.491285,56438,2372,6837,6837
metroplex44nDr0nDe3,19.005013,0.984176,0.316451,1.300627,118723,3519,10467,10467
metroplex45nDr1nDe1,3.365915,2.910408,0.751337,3.661745,366401,9578,33439,33439
airport46nDr0nDe2,9.526316,0.505167,0.935431,1.440598,66570,6645,24879,24879
grid41nDr1nDe0,1.789474,2.107988,0.254324,2.362312,259196,10145,20542,20542
metroplex47nDr1nDe0,1.315789,1.211374,0.174552,1.385926,152060,5224,16754,16754
airport46nDr1nDe1,8.010025,0.371242,0.389086,0.760328,48802,5076,18196,18196
airport46nDr1nDe0,0.736842,0.146217,0.047572,0.193789,12488,1903,6340,6340
metroplex46nDr0nDe1,3.802005,2.816569,0.470726,3.287295,359415,8502,28975,28975
metroplex45nDr1nDe0,0.894737,3.750120,1.117947,4.868067,471165,11558,40877,40877
metroplex47nDr1nDe1,11.486216,0.795010,0.096664,0.891674,86110,3422,10442,10442
grid43nDr0nDe1,3.746867,2.332341,0.428023,2.760364,283606,11080,22580,22580
metroplex45nDr0nDe1,3.300752,3.816719,2.231083,6.047802,471357,11728,41134,41134
airport44nDr0nDe3,2.067669,0.370078,0.162137,0.532215,48976,4468,15133,15133
airport47nDr0nDe2,0.676692,0.707176,0.485052,1.192228,92102,8212,31289,31289
airport47nDr1nDe0,1.157895,0.139369,0.055587,0.194956,17969,2329,7784,7784
grid44nDr1nDe1,3.380952,2.314905,0.348067,2.662972,268789,9579,19180,19180
airport47nDr0nDe3,2.047619,0.736109,0.739361,1.475470,92264,8360,31511,31511
airport47nDr1nDe1,1.050125,0.465867,0.244067,0.709934,40140,4285,14924,14924
metroplex45nDr0nDe2,10.568922,3.886861,1.296959,5.183820,471177,11566,40891,40891
airport45nDr1nDe1,1.558897,0.473753,0.216783,0.690536,62379,5600,19988,19988
grid46nDr1nDe0,3.368421,1.621287,0.167765,1.789052,192706,8311,16189,16189
grid47nDr0nDe3,4.172932,0.401484,0.036111,0.437595,52326,2785,4885,4885
grid44nDr0nDe2,11.992481,2.478741,0.244306,2.723047,302224,10360,20905,20905
airport46nDr0nDe1,1.022556,0.448333,0.126611,0.574944,39752,4444,15723,15723
grid47nDr1nDe1,8.150376,0.598522,0.056943,0.655465,75139,3722,6809,6809
grid47nDr1nDe0,2.368421,1.120284,0.151929,1.272213,140382,5779,11018,11018
metroplex48nDr1nDe1,6.751880,1.330566,0.272015,1.602581,166065,5062,16110,16110
metroplex47nDr0nDe1,1.716792,3.361793,1.013695,4.375488,417512,11147,40826,40826
