instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport46,1.105263,0.865778,0.881284,1.747062,118914,9490,35607,35607,2
airport47,1.526316,0.703950,0.754497,1.458447,96839,8670,33957,33957,2
airport45,1.200501,0.733317,0.892170,1.625487,100048,7916,28635,28635,2
airport54,2001.105263,0.599040,0.825145,1.424185,83376,7308,26816,26816,1
airport55,4000.842105,0.630744,0.515809,1.146553,87014,6760,24138,24138,1
airport4,1001.105263,0.733425,0.569400,1.302825,100588,8179,30207,30207,2
airport48,1.631579,0.613325,0.824226,1.437551,84898,8536,34217,34217,2
airport49,1.210526,0.760836,0.688260,1.449096,104805,8045,29400,29400,2
airport60,1.105263,0.789203,1.148592,1.937795,100948,8746,32998,32998,0
airport56,1001.105263,0.799533,0.566143,1.365676,109888,8987,34146,34146,1
airport64,1001.681704,0.594224,0.691183,1.285407,79416,7109,26381,26381,0
airport62,1001.473684,0.638473,0.458735,1.097208,87630,7729,29362,29362,0
airport57,1001.789474,0.861650,0.533917,1.395567,118244,8774,32643,32643,1
airport63,1001.681704,0.598620,0.648774,1.247394,82920,6769,24142,24142,0
airport58,2001.105263,0.603153,0.692270,1.295423,83306,7289,26739,26739,1
airport51,1.368421,0.727636,0.378806,1.106442,100206,7830,28818,28818,2
airport66,1002.105263,0.763918,0.322557,1.086475,104573,7544,27409,27409,0
airport67,1002.892231,0.729659,0.677191,1.406850,100790,7858,29478,29478,0
airport52,1.421053,0.697661,0.580109,1.277770,91346,7061,25779,25779,2
airport65,1001.105263,0.867604,0.989873,1.857477,119928,9764,37088,37088,0
airport50,1.105263,0.862351,1.046856,1.909207,119394,9441,35301,35301,2
airport59,1001.681704,0.752954,0.959082,1.712036,105131,7809,27873,27873,1
airport68,1001.421053,0.805275,0.425498,1.230773,109032,8138,29813,29813,0
airport5,1.681704,0.664950,0.843215,1.508165,92070,7522,27415,27415,1
airport69,3.260652,0.571393,0.717424,1.288817,79495,7257,26911,26911,0
airport61,1001.105263,0.584003,0.403891,0.987894,79357,7029,25946,25946,1
airport53,0.621554,0.762896,0.495480,1.258376,104627,8461,31837,31837,2
airport54,2001.105263,0.678864,0.822679,1.501543,83384,7316,26828,26828,2
airport60,1.105263,0.732499,1.157619,1.890118,100958,8756,33013,33013,1
airport55,4000.684211,0.623797,0.556532,1.180329,87044,6790,24183,24183,2
airport62,1001.315789,0.709904,0.408333,1.118237,87660,7759,29407,29407,1
airport56,1001.105263,0.803242,0.590250,1.393492,109906,9005,34173,34173,2
airport64,1001.681704,0.575159,0.721742,1.296901,79436,7129,26411,26411,1
airport58,2001.105263,0.602244,0.725940,1.328184,83316,7299,26754,26754,2
airport6,1.842105,0.806506,0.884600,1.691106,111750,9533,38267,38267,0
airport63,1001.681704,0.595514,0.634415,1.229929,82938,6787,24169,24169,1
