instance,timeLim,opt,totalTime,bestTime,nIter,optIter
metroplex26nDr0nDe3,30,6.521303,8.078832,3.355782,4,2
metroplex30nDr0nDe1,30,36.298246,0.942435,0.375563,6,3
grid12nDr0nDe1,30,3.288221,3.210111,1.320173,4,2
metroplex30nDr0nDe2,30,7.155388,1.115770,0.199332,4,1
grid29nDr0nDe2,30,5.017544,2.111437,0.307334,4,1
airport30nDr0nDe1,30,0.822055,0.399081,0.091793,4,1
metroplex31nDr0nDe3,30,7.385965,0.336015,0.090729,4,1
grid1nDr0nDe1,30,9.245614,4.966096,0.593430,5,1
airport26nDr0nDe3,30,2.568922,0.504618,0.065358,4,1
grid18nDr0nDe1,30,4.441103,3.346247,1.435338,4,2
airport30nDr0nDe2,30,1.393484,0.475493,0.068861,4,1
airport2nDr0nDe2,30,1.972431,2.469132,0.218454,4,1
metroplex32nDr0nDe1,30,5.576441,0.491135,0.108735,4,1
grid27nDr0nDe2,30,6.596491,3.516138,0.411585,4,1
grid12nDr0nDe2,30,9.578947,3.552744,2.528106,4,3
metroplex31nDr0nDe1,30,8.749373,1.447895,0.200377,5,1
metroplex0nDr0nDe2,30,9.671679,10.051615,6.542270,6,4
metroplex30nDr0nDe3,30,9.791980,2.117561,0.841079,4,2
airport32nDr0nDe1,30,0.822055,0.447502,0.091098,4,1
metroplex11nDr0nDe1,30,90.448622,10.228907,6.875336,8,6
airport31nDr0nDe3,30,6.736842,1.302518,0.144753,4,1
metroplex31nDr0nDe2,30,13.802005,1.841975,0.829424,4,2
grid23nDr0nDe2,30,3.972431,8.700261,3.463745,4,2
metroplex21nDr0nDe1,30,1.887218,10.377018,4.444338,4,2
airport32nDr0nDe2,30,8.932331,1.271811,0.141472,4,1
airport13nDr0nDe3,30,3.000000,8.342608,0.808019,4,1
grid12nDr0nDe3,30,3.020050,3.875356,1.727700,4,2
airport26nDr0nDe2,30,1.380952,2.932016,0.285916,4,1
metroplex18nDr0nDe3,30,12.428571,10.744111,4.911157,4,2
metroplex1nDr0nDe2,30,16.736250,10.743172,9.204319,5,4
grid1nDr0nDe3,30,4.305764,4.114007,1.657090,4,2
airport30nDr0nDe3,30,1.909774,1.012639,0.117970,4,1
airport26nDr0nDe1,30,0.964912,6.764169,0.382924,4,1
grid30nDr0nDe3,30,5.380952,0.410594,0.099045,4,1
grid30nDr0nDe1,30,5.611529,2.828429,1.042771,4,2
metroplex32nDr0nDe3,30,9.541353,2.527227,1.256698,4,2
airport18nDr0nDe3,30,5.583960,0.968154,0.115449,4,1
grid2nDr0nDe1,30,2.714286,3.748413,0.274252,6,1
airport31nDr0nDe1,30,1.107769,2.388414,0.231423,4,1
grid13nDr0nDe3,30,8.553885,1.452258,0.256626,4,1
airport32nDr0nDe3,30,1.593985,0.423706,0.066657,4,1
metroplex33nDr0nDe3,30,11.849624,2.440521,1.400120,5,3
grid31nDr0nDe1,30,3.942356,0.443876,0.108525,4,1
metroplex28nDr0nDe3,30,13.598997,9.937493,0.812875,9,1
metroplex25nDr0nDe2,30,9.150376,12.899913,9.295078,4,3
airport31nDr0nDe2,30,1.393484,2.666922,0.245268,4,1
airport33nDr0nDe3,30,2.796992,0.747036,0.089517,4,1
metroplex28nDr0nDe2,30,10.578947,10.800814,4.507320,4,2
metroplex15nDr0nDe3,30,7.957393,13.336717,5.339630,4,2
grid26nDr0nDe3,30,5.756892,4.276308,0.420218,4,1
